ID	adjudicated	Labels	text
84	adjudicated	3	wild things Can I play too? Or is it just for boys?
85	adjudicated	1	wild things So you're the new chicken licker.
86	adjudicated	0	wild things No little bitch could ever make me cum.
87	adjudicated	1	wild wild west Never drum on a white lady's boobies at a big redneck dance. Got it.
88	adjudicated	2	witness What you take into your hand, you take into your heart.
89	adjudicated	1	you can count on me You know, if I were you, I'd be a little nervous about firing somebody I'd just had an affair with, okay?
90	adjudicated	0	you can count on me Yeah, this is the haute cuisine of garments.
91	adjudicated	1	you've got mail I always take a relationship to the next level. If that works out, I take it to the next level after that, until I finally reach that level when it becomes absolutely necessary for me to leave.
92	adjudicated	4	you've got mail Kiss me, I'm going to be your wicked step mother.
93	adjudicated	1	you've got mail I like Patricia. I *love* Patricia. Patricia makes COFFEE nervous.
94	adjudicated	2	you've got mail Oh, no, she's beautiful, but she's a pill.
95	adjudicated	1	you've got mail Kevin, this is possibly the most adorable creature I've ever been in contact with, and if she turns out to be as good looking as a mailbox... I would be crazy enough to turn my life upside down and marry her.
96	adjudicated	1	zerophilia You're gonna' have a great time with her tonight. Just be yourself... mostly.
97	adjudicated	2	wild things I think we just need to get wasted.
98	adjudicated	0	u turn Women say they don't want to be taken like, really taken -- that's bullshit -- they do.
99	adjudicated	2	u turn Well, he offered, and I just couldn't refuse.
100	adjudicated	0	heavy metal She's sleeping, but only I can awaken her.
101	adjudicated	1	psycho Look, this isn't much, but it might make you feel a little better.
102	adjudicated	3	pitch black Well, guess if it was trickeration he'd just do me, huh?
103	adjudicated	1	pitch black Okay, maybe that's a good thing.
104	adjudicated	1	get shorty I need you to do me a favor.
105	adjudicated	4	four rooms You look so much more attractive when you're self- assured.
106	adjudicated	3	four rooms You always gotta get the last word, don't you?
107	adjudicated	1	lord of the rings the two towers I would stay still, if I were you.
108	adjudicated	0	jay and silent bob strike back Well what are you waiting for, bitch?
109	adjudicated	1	interview with the vampire: the vampire chronicles Do what you want with it.
110	adjudicated	2	10 things i hate about you You don't strike me as the type that would ask permission.
111	adjudicated	1	10 things i hate about you I'd like to call your attention to Patrick Verona's stunning bad-ass look of 1995 ---
112	adjudicated	0	the wizard of oz She brings you good news.
113	adjudicated	1	basic instinct I went over to your place.
114	adjudicated	3	austin powers: international man of mystery Listen, Vanessa, I'm a swinger... That's what I do, I swing.
115	adjudicated	0	a nightmare on elm street: the dream child In the dream, she was standing in a room.
116	adjudicated	2	american pie I do like your dirty magazines.
117	adjudicated	4	american pie You mean like, strip strip?
118	adjudicated	2	kids Suck my dick, Suck my dick.
119	adjudicated	3	titanic Hello girls, I was hoping I'd catch you at tea.
120	adjudicated	3	mumford It's nice to meet you, Mrs. Cook.
121	adjudicated	2	eternal sunshine of the spotless mind See, I wouldn't think that about you.
122	adjudicated	3	the man who wasn't there ...What kind of man are you?
123	adjudicated	4	the wedding date Or mmm--  Gorgeous, I was insane to let you go!
124	adjudicated	3	the wedding date I hear that make-up sex is the best kind.
125	adjudicated	5	casablanca But what a fool I am talking to a beautiful woman about another man.
126	adjudicated	1	bachelor party Where's the women, man?
127	adjudicated	2	romeo & juliet That may be, sir, when I may be a wife.
128	adjudicated	1	romeo & juliet Shall I be married then tomorrow morning?
129	adjudicated	2	get carter Keep your pants on.
130	adjudicated	3	get carter I bet you could use a drink, could you, Eric?
131	adjudicated	4	bringing out the dead I make her wait and it drives her crazy.
132	adjudicated	1	twilight That was the first night I dreamed of Edward Cullen.. .
133	adjudicated	2	twilight Nice house you have here.
134	adjudicated	0	twilight We left you a message.
135	adjudicated	1	star trek iii: the search for spock I know this will come as a pleasant surprise for you...
136	adjudicated	1	pulp fiction Now I'm gonna take a wild guess here: you're Brett, right?
137	adjudicated	1	a hard day's night Ever seen one of these before?
138	adjudicated	0	fantastic mr fox Why'd you have to get us into this, Foxy?
139	adjudicated	3	spanglish You know, I always think about when you...Oh, there's no point.
140	adjudicated	3	being john malkovich I'm sure he's a better lover than I ever was.
141	adjudicated	1	being john malkovich I moved his arm across your girlfriend's glorious tit.
142	adjudicated	3	being john malkovich This is my type of chick.
143	adjudicated	2	the three musketeers However, if you would like to entertain me with a story, I'm eager to hear it.
144	adjudicated	0	american gangster I want to know everyone you've met for the last twenty years.
145	adjudicated	2	twin peaks Was I wearing something of yours and you got mad at me?
146	adjudicated	0	the american president Sydney, seldom does a day go by that I'm not burned in effigy.
147	adjudicated	1	the american president You know, I'm a little nervous.
148	adjudicated	1	sideways You drop this bombshell on me.
149	adjudicated	3	sideways These girls want to party.
150	adjudicated	2	sideways Oh, just that he loves her.
151	adjudicated	4	le grand bleu Come on, suck your finger, you'll be seeing mermaids everywhere!
152	adjudicated	1	thirteen days Feels good to win, doesn't it?
153	adjudicated	0	suburbia It's an honest question.
154	adjudicated	3	the shining Come and play with us.
155	adjudicated	1	shrek Oh, that is so sweet.
156	adjudicated	1	shrek I believe it's healthy to get to know someone over a long period of time.
157	adjudicated	2	yes man Will you do it for me Carl?
158	adjudicated	3	blood simple So, uh... this wouldn't interest you.
159	adjudicated	3	sweet smell of success My curiosity is killing me; what are you so rambunctious about tonight?
160	adjudicated	3	sweet smell of success I'm feeling too good to fight with you, but that isn't what I said - I said you snoop.
161	adjudicated	2	donnie darko Hey, Cherita... want a cigarette?
162	adjudicated	4	shakespeare in love Will you read it for me?
163	adjudicated	2	true believer So what've you been up to since then?
164	adjudicated	3	blue velvet You can kiss them if you want.
165	adjudicated	4	almost famous And I'm still in love with you Leslie.
166	adjudicated	5	true romance I like you, Clarence. Always have. Always will.
167	adjudicated	0	true romance I mean look at her. It looks like she fell off the ugly tree and hit every branch on the way down.
168	adjudicated	4	true romance I eat the pussy, I eat the butt, I eat every motherfuckin' thang.
169	adjudicated	1	true lies What can I say? I'm a spy.
170	adjudicated	0	true lies So far, this is not blowing my skirt up, gentlemen.
171	adjudicated	5	trouble in paradise Darling, remember, you are Gaston Monescu. You are a crook. I want you as a crook. I love you as a crook. I worship you as a crook. Steal, swindle, rob. Oh, but don't become one of those useless, good-for-nothing gigolos.
172	adjudicated	3	transformers the movie I would have waited an eternity for this. It's over, Prime.
173	adjudicated	2	transformers the movie Why settle for a peek, Daniel, when you can see everything from "Lookout Mountain"?
174	adjudicated	2	titanic You gonna cut her meat for her too there, Cal?
175	adjudicated	4	titanic I'll never let go, Jack. I promise.
176	adjudicated	3	titanic You shine up like a new penny.
177	adjudicated	5	titanic What? Do you think a first class girl can't drink?
178	adjudicated	4	titanic So, you wanna go to a real party?
179	adjudicated	1	tin cup Why do men always insist on measuring their dicks?
180	adjudicated	1	tin cup Oh, you amuse me, Roy, but I'm the only woman in America born after World War II that thinks astrology's a crock of shit.
181	adjudicated	5	tin cup Does my inner child need a spanking?
182	adjudicated	4	thx 1138 Everything will be all right. You are in my hands. I am here to protect you. You have nowhere to go. You have nowhere to go.
183	adjudicated	2	thunderheart Come on up and watch TV.
184	adjudicated	1	this boy's life Why, I'm so scared, I'm so scared, I'm so scared, wo-o-o!
185	adjudicated	0	this boy's life Here I am, you lucky people!
186	adjudicated	1	there's something about mary I couldn't believe that she knew my name. Some of my best friends didn't know my name.
187	adjudicated	3	there's something about mary We agreed I wouldn't fuck you, and you wouldn't fuck me until we got this fuck  outta the fuckin' picture!
188	adjudicated	1	thelma & louise If she calls, just be gentle, you know? Like you're really happy to hear from her. Like you miss her. Women love that shit.
189	adjudicated	3	thelma & louise Louise, no matter what happens, I'm glad I came with you.
190	adjudicated	3	Anchorman I don't know how to put this, but... I'm kind of a big deal.
191	adjudicated	4	As Good As It Gets You make me want to be a better man.
192	adjudicated	5	A Beautiful Mind I don't exactly know what I am required to say in order for you to have intercourse with me. But could we assume that I said all that? I mean, essentially we are talking about fluid exchange, right? So could we just go straight to the sex?
193	adjudicated	2	Internal Affairs That's a nice dress — where's the rest of it?
194	adjudicated	5	The Sure Thing   How would you like to have a sexual encounter so intense, it could conceivably change your political views?
195	adjudicated	5	Intolerable Cruelty Your husband had told me you were the most beautiful woman he'd ever met. I didn't expect the most beautiful woman I'd ever met.
196	adjudicated	4	the last boy scout She's hot, Joe. She rates a three on my finger scale. That means I'd cut off three of my fingers if God would let me fuck her.
197	adjudicated	4	up in the air This is pretty fucking sexy.
198	adjudicated	0	the big lebowski That's right, Dude, they peed on your fucking rug.
199	adjudicated	2	the big lebowski Walter, I love you, but sooner or later, you're going to have to face the fact you're a goddamn moron.
200	adjudicated	4	the apartment Ya know, I used to live like Robinson Crusoe; I mean, shipwrecked among 8 million people. And then one day I saw a footprint in the sand, and there you were.
201	adjudicated	1	the adventures of ford fairlane Clint Eastwood... I fucked 'im.
202	adjudicated	5	terminator I came across time for you, Sarah. I love you. I always have.
203	adjudicated	2	terminator Guard it for me, big buns.
204	adjudicated	1	taxi driver I first saw her at Palantine Campaign headquarters at 63rd and Broadway. She was wearing a white dress. She appeared like an angel. Out of this filthy mess, she is alone. They... cannot... touch... her.
205	adjudicated	1	synecdoche, new york I know how to do the play now. It will all take place over the course of one day. And that day will be the day before you died. That day was the happiest day of my life. Then I'll be able to live it forever. See you soon.
206	adjudicated	5	synecdoche, new york Hazel, you've been a part of me forever. Don't you know that? I breathe your name in every exhalation.
207	adjudicated	0	swingers They went with someone who had more theme-park experience.
208	adjudicated	0	superbad Calm down, calm down. She likes you. She wants to suck on your penis. That's a good thing. It's the best.
209	adjudicated	1	sugar & spice Jack Bartlett. Jack Bartlett! Jack Bartlett. Is Jack Bartlett interested in me?
210	adjudicated	2	south park Ow! That Hurt, you butt licker!
211	adjudicated	2	something's gotta give Harry, your heart attack could be the best thing that's ever happened to me!
212	adjudicated	4	something's gotta give Erica, you are a woman to love.
213	adjudicated	3	someone to watch over me Let me watch over you tonight.
214	adjudicated	2	so i married an axe murderer Lighten up, Charlie. You've got a pickle up your ass again.
215	adjudicated	0	sling blade Yes, ma'am. I've killed Doyle Hargraves with a lawnmower blade. Yes, ma'am, I'm right sure of it. I hit him two good whacks in the head with it. That second one just plum near cut his head in two... It's a lil' ol' white house on the corner of Vine Street and some other street. There's a pick-up truck out front that says "Doyle Hargraves Construction" on it. Doyle said besides sending the police, you might wanna send an ambulance or a "hearst". I'll be sitting here, waiting on ye.
216	adjudicated	4	sleepless in seattle Sam... It's nice to meet you.
217	adjudicated	5	scarface You're good-looking. You got a beautiful body, beautiful legs, beautiful face, all these guys in love with you. Only you've got a look in your eye like you haven't been fucked in a year.
218	adjudicated	5	shakespeare in love I love you, Will, beyond poetry.
219	adjudicated	3	sex, lies and videotape You never used to say the word "fucking."
220	adjudicated	0	sex, lies and videotape I think that um... I think that sex is overrated. I think that people place far too much importance on it, and I think that stuff about women wantin' it just as bad as men is crap. I mean I think that women want it, I just don't think that they want it for the same reason that men think they do.
221	adjudicated	5	sex, lies and videotape You know, I'd like to do it at your house sometime. I must admit, the idea of doing it in my sister's bed gives me a perverse thrill.
222	adjudicated	2	sense and sensibility He is the kindest and best of men.
223	adjudicated	1	rushmore Tell that stupid Mick he just made my list of things to do today.
224	adjudicated	3	rush hour 2 I'm gonna pretend you a man. A very beautiful man with a great body that I'd like to take to the movies.
225	adjudicated	4	runaway bride Look, I guarantee there'll be tough times. I guarantee that at some point, one or both of us is gonna want to get out of this thing. But I also guarantee that if I don't ask you to be mine, I'll regret it for the rest of my life, because I know, in my heart, you're the only one for me.
226	adjudicated	3	romeo & juliet A pretty piece of flesh I am!
227	adjudicated	3	romeo & juliet Romeo, thou art a villain.
228	adjudicated	2	romeo & juliet My only love sprung from my only hate! Too early seen unknown, and known too late! Prodigious birth of love it is to me that I must love a loathed enemy.
229	adjudicated	4	romeo & juliet You kiss by the book.
230	adjudicated	4	rocky I wanna kiss ya-ya don't have to kiss me back if ya don't feel like it.
231	adjudicated	5	revolutionary road Frank Wheeler, I think you're the most interesting person I've ever met.
232	adjudicated	1	remember me He's in love with you. I've only ever seen him look at one other girl the way he looks at you, and she's a lot shorter and shares his DNA.
233	adjudicated	2	rear window Well, if there's one thing I know, it's how to wear the proper clothes.
234	adjudicated	4	rear window I can hear you now: "Get out of my life, you wonderful woman. You're too good for me."
235	adjudicated	3	raising arizona I"m in here on my knees, Ed, a free man proposing. Howdy, Kurt.
236	adjudicated	0	raging bull Shut up. You just shut up. I'll fucking take care of you later.
237	adjudicated	5	quills You've already stolen my heart... as well as another more prominent organ, south of the Equator.
238	adjudicated	2	quills Your terrible secret revealed, you're a man after all.
239	adjudicated	5	purple rain Your lips would make a lollipop too happy.
240	adjudicated	3	pretty woman Fifty bucks, Grandpa. For seventy-five, the wife can watch.
241	adjudicated	5	point break I know Johnny. I know you want me so bad it's like acid in your mouth. But, not this time.
242	adjudicated	0	point break ...last time you had a feeling I had to kill a guy, and I hate that... It looks bad on my report.
243	adjudicated	0	pleasantville I could, like, kill a guy with these things.
244	adjudicated	2	pleasantville It was amazing, Daph ... I'm like: "Well my Mom'll be out of town." And he's like "Well then, maybe we could-- you know ..." And I'm like "Yeah, sure." And he's like "Well, cool." I know, he's just so smart. I don't know. Maybe that black thing I just got. It is not slutty, Daph, it's cute. Well, "hello?" He's not coming over here to study ... I know. Well I'm jealous of you too sometimes.
245	adjudicated	1	pleasantville I did the slut thing, David. It got kinda old.
246	adjudicated	1	platinum blonde I've met some roughies in my time, but you are without a doubt the lowest excuse for a man I've ever had the misfortune to meet
247	adjudicated	4	pitch black Strong survival instinct. I admire that in a woman.
248	adjudicated	4	pirates of the caribbean dead man's chest One word love: curiosity. You long for freedom. You long to do what you want to do because you want it. To act on selfish impulse. You want to see what it's like. One day you won't be able to resist.
249	adjudicated	2	pirates of the caribbean dead man's chest Jack...? Jack Sparrow? I can honestly say I'm glad to see you.
250	adjudicated	4	pirates of the caribbean dead man's chest My tremendous intuitive sense of the female creature informs me that you are troubled.
251	adjudicated	5	pirates of the caribbean dead man's chest You know, these clothes do not flatter you at all. It should be a dress or nothing. I happen to have no dress in my cabin.
252	adjudicated	1	pirates of the caribbean dead man's chest Damn you, Jack Sparrow...
253	adjudicated	2	pineapple express I wish we could just go nowhere.
254	adjudicated	2	peeping tom Well, he won't be doing the crossword tonight.
255	adjudicated	1	peeping tom I like to understand what I'm shown
256	adjudicated	1	peeping tom Whatever I photograph I always lose.
257	adjudicated	2	peeping tom Take me to your cinema.
258	adjudicated	2	out of sight Alright, now I can say that I fucked a U.S. marshal. Do you think I will?
259	adjudicated	0	out of sight You want to take her to my place, get cleaned up, come out of the bathroom with your aftershave on, and she goes "Oh! I had you all wrong."
260	adjudicated	2	out of sight It was worse than you thought it would be, wasn't it? Yeah, you with the bad boys now, baby.
261	adjudicated	3	orgy of the dead A pussycat is born to be whipped.
262	adjudicated	4	orgy of the dead Torture, torture! It pleasures me!
263	adjudicated	3	obsessed You said you wish we could be together.
264	adjudicated	0	notting hill The more I think about things, the more I see no rhyme or reason in life. no one knows why some things work out and some things don't. Why some of us are lucky and some of us get...
265	adjudicated	3	notting hill How did I look?  Not bad, not bad at all. Well chosen briefs I must say. Chicks dig grey.  Nice. Firm. Buttocks.
266	adjudicated	0	notting hill I knew a girl at school called Pandora. Never got to see her box, though.
267	adjudicated	0	notting hill Just going to the kitchen to get some food, then I'm going to tell you a story that will make your balls shrink to the size of raisins.
268	adjudicated	1	notting hill If I were to employ a wet rag would I have to pay it as much as I pay you?
269	adjudicated	4	notting hill Oh God, this is one of those key moments in life, when it's possible you can be really, genuinely cool - and I'm failing 100%. I absolutely and totally and utterly adore you and I think you're the most beautiful woman in the world and more importantly I genuinely believe and have believed for some time now that we can be best friends. What do YOU think?
270	adjudicated	2	notting hill Would you like something to eat? Something to nibble? Apricots, soaked in honey? Quite why, no one knows, because it stops them tasting like apricots and makes them taste like honey... and if you wanted honey, you could just... buy honey. Instead of apricots. But nevertheless they're yours if you want them.
271	adjudicated	0	never been kissed See ya around the Cell Block, Mrs. Robinson.
272	adjudicated	1	natural born killers Remember the last time you got fucked? What I want you to do is close your eyes, and remember the last time Mickey gave you the high hard one. You thinking about it? Good. Well you can forget it, 'cause it's never gonna happen again. Because when they get through with all the electroshock shit they got lined up for that cocksucker, ol' Mickey ain't gonna be worth a damn.
273	adjudicated	1	my girl 2 Vada, if bullshit wore a bra, you'd be top heavy.
274	adjudicated	1	my best friend's wedding He's got you on a pedestal and me in his arms.
275	adjudicated	1	mumford Oh, she doesn't know about it yet. Right now, out of the two of us, I'm the only one in love. But I'm really stoked!
276	adjudicated	0	mumford I may be young, but Doc, I can tell you that I'm very immature.
277	adjudicated	0	mumford She kept yammering all the time, but her hips were doing all the talking.
278	adjudicated	0	mr deeds goes to town That guy is either the dumbest, stupidest, most imbecilic idiot in the world, or else he's the grandest thing alive. I can't make him out.
279	adjudicated	0	mr brooks Even if that guy was charming and funny, I still wouldn't like him.
280	adjudicated	3	mr blandings builds his dream house You've been taken to the cleaners, and you don't even know your pants are off.
281	adjudicated	2	moonstruck Come upstairs. I don't care why you come. No, that's not what I mean. Loretta, I love you. Not like they told you love is and I didn't know this either. But love don't make things nice, it ruins everything, it breaks your heart, it makes things a mess. We're not here to make things perfect. Snowflakes are perfect. The stars are perfect. Not us. We are here to ruin ourselves and break our hearts and love the wrong people and die! The storybooks are bullshit. Come upstairs with me, baby! Don't try to live your life out to somebody else's idea of sweet happiness. Don't try to live on milk and cookies when what you want is meat! Red meat just like me! It's wolves run with wolves and nothing else! You're a wolf just like me! Come upstairs with me and get in my bed! Come on! Come on! Come on!
282	adjudicated	0	moonstruck This is the most tormented man I have ever known. I'm in love with this man, but he doesn't know that, 'cause I never told him, 'cause he could never love anybody since he lost his hand and his girl.
283	adjudicated	0	moonstruck Pardon me folks. That was just a very attractive mental patient.
284	adjudicated	0	moonstruck Aw, Johnny, 40 years old and she's still runnin' your life!
285	adjudicated	0	moonstruck Now he's going to play that damn Vicki Carr record, and when he comes to bed he won't touch me.
286	adjudicated	1	moonstruck You have such a head for knowing!
287	adjudicated	1	moon Sam, get some sleep. You're very tired.
288	adjudicated	1	moon I hope life on Earth is everything you remember it to be.
289	adjudicated	1	monty python and the holy grail What a strange person.
290	adjudicated	2	monkeybone I left my phone number in your undies. Try not to lose it in traffic.
291	adjudicated	2	mission impossible ii You know, that was the hardest part about having to portray you, grinning like an idiot every fifteen minutes.
292	adjudicated	3	mission impossible Hey, I'm the flavor of the month.
293	adjudicated	1	mission impossible There was never any physical evidence I had anything to do with that... that... that exceptional piece of work.
294	adjudicated	0	misery No, he's not here. I don't know where he is, he never tells me anything any more. Probably out having an affair somewhere.  Oh here he is.  It's Jim Taylor, he wants to know who you're having an affair with.
295	adjudicated	0	mimic You better tell me, what the hell is going on around here?
296	adjudicated	1	milk Gentlemen, Anne Kronenberg - a woman. A woman who likes women, isn't that ususual?
297	adjudicated	3	milk I know you're angry! I'm angry!
298	adjudicated	3	milk How do you teach homosexuality? Is it like French?
299	adjudicated	0	milk I am here tonight to say that we will no longer sit quietly in the closet. We must fight. And not only in the Castro, not only in San Francisco, but everywhere the Anitas go. Anita Bryant did not win tonight, Anita Bryant brought us together! She is going to create a national gay force! And the young people in Jackson Mississippi, in Minnesota, in the Richmond, in Woodmere New York, who are hearing her on television, hearing Anita Bryant telling them on television that they are sick, they are wrong, there is no place in this great country for them, no place in this world, they are looking to us for something tonight, and I say, we have got to give them hope!
300	adjudicated	0	milk You're going to meet the most extraordinary men, the sexiest, brightest, funniest men, and you're going to fall in love with so many of them, and you won't know until the end of your life who your greatest friends were or your greatest love was.
301	adjudicated	1	mighty morphin power rangers the movie Hey, pretty fancy Spansy, I guess if You invest Your Money well in 60 Centuries... You can manage to buy yourself something Nice.
302	adjudicated	2	mighty morphin power rangers the movie Hi, Honey... I'm home!
303	adjudicated	0	midnight express For a nation of pigs, it sures is funny you don't eat'em! Jesus Christ forgave the bastards, but I can't! I hate! I hate you! I hate your nation! And I hate your people! And I fuck your sons and daughters because they're pigs! You're a pig! You're all pigs.
304	adjudicated	1	midnight cowboy The two basic items necessary to sustain life, are sunshine and coconut milk... didya know that?
305	adjudicated	3	midnight cowboy Oh, Joe it's... it's so difficult, I - You're a nice person, Joe, I- I- I should never have asked you up here, you're... You're a lovely person, really. Oh, God, I loathe life, I loathe it! Please go, please.
306	adjudicated	3	midnight cowboy Uh, well, sir, I ain't a f'real cowboy. But I am one helluva stud!
307	adjudicated	4	men in black Get your big butt back in the house!
308	adjudicated	1	men in black Interesting job you boys have...
309	adjudicated	0	memento Beg my wife's forgiveness, before I blow your brains out.
310	adjudicated	2	memento Probably burned truck loads of your stuff before. Can't remember to forget you.
311	adjudicated	1	memento You know, I've had more rewarding friendships than this one. Although I do get to keep telling the same jokes.
312	adjudicated	3	memento You know what? I think I'm gonna use you. I'm telling you now because I'll enjoy it so much more if I know that you could stop me if you weren't such a fucking freak!
313	adjudicated	2	memento Hmmm. I don't feel drunk.
314	adjudicated	2	meet john doe I've seen guys like you before. Guys that never had to worry. Then they get a hold of some dough and go goofy.
